(860, 1, 10)
(82, 1, 11)
(88, 1, 12)
(345, 1, 14)
(971, 1, 14)
(964, 1, 14)
(376, 1, 15)
(363, 1, 15)
(309, 1, 15)
(882, 1, 16)
(18, 1, 17)
(509, 1, 17)
(604, 1, 18)
(538, 1, 18)
(831, 1, 18)
(601, 1, 18)
(838, 1, 18)
(778, 1, 19)
(723, 1, 20)
(1009, 1, 20)
(521, 1, 20)
(199, 1, 20)
(789, 1, 20)
(989, 1, 20)
(976, 1, 22)
(947, 1, 23)
(893, 1, 23)
(810, 1, 23)
(254, 1, 23)
(735, 1, 23)
(192, 1, 24)
(391, 1, 25)
(382, 1, 25)
(275, 1, 26)
(582, 1, 26)
(861, 1, 26)
(576, 1, 27)
(499, 1, 27)
(942, 1, 27)
(590, 1, 28)
(163, 1, 28)
(188, 1, 28)
(1003, 1, 29)
(423, 1, 29)
(1002, 1, 29)
(240, 1, 29)
(220, 1, 29)
(651, 1, 29)
(950, 1, 29)
(727, 1, 30)
(814, 1, 30)
(233, 1, 30)
(577, 1, 30)
(984, 1, 31)
(891, 1, 31)
(102, 1, 31)
(57, 1, 31)
(619, 1, 31)
(807, 1, 31)
(801, 1, 31)
(312, 1, 31)
(489, 1, 32)
(886, 1, 32)
(888, 1, 32)
(1034, 3, 32)
(825, 1, 35)
(980, 1, 35)
(438, 1, 35)
(535, 1, 36)
(951, 1, 36)
(398, 1, 38)
(828, 1, 38)
(229, 1, 39)
(503, 1, 39)
(487, 1, 39)
(973, 1, 40)
(586, 1, 40)
(68, 1, 40)
(129, 1, 41)
(911, 1, 42)
(58, 1, 43)
(31, 1, 44)
(373, 1, 46)
(836, 1, 46)
(599, 1, 46)
(760, 2, 48)
(743, 1, 48)
(441, 1, 51)
(762, 1, 53)
(614, 1, 53)
(574, 1, 55)
(904, 2, 55)
(988, 1, 57)
(959, 1, 58)
(239, 1, 58)
(554, 1, 64)
(705, 1, 65)
(676, 1, 66)
(918, 1, 68)
(236, 1, 84)
(1965, 85, 96)
(1043, 85, 96)
(1767, 85, 97)
(1086, 85, 97)
(1055, 85, 97)
(1101, 85, 98)
(2015, 85, 98)
(1697, 85, 98)
(1213, 85, 99)
(1950, 85, 99)
(1724, 85, 99)
(1290, 85, 100)
(1794, 85, 100)
(1544, 85, 100)
(1437, 85, 100)
(1484, 85, 101)
(1444, 85, 102)
(1481, 85, 102)
(1783, 85, 102)
(1681, 85, 102)
(1245, 85, 102)
(1419, 85, 103)
(1528, 85, 104)
(1529, 85, 104)
(1594, 85, 104)
(1616, 85, 104)
(2024, 85, 104)
(1885, 85, 105)
(1112, 85, 105)
(1083, 85, 106)
